voltage,current,pir,vibration,risk
23.0,0.7,1,310,0
23.0,0.5,0,315,0
22.7,0.8,0,284,0
22.5,0.6,0,229,0
23.0,0.7,0,318,0
23.7,0.5,1,243,0
23.5,0.5,1,295,0
22.6,0.5,0,248,0
22.8,0.6,0,238,0
22.5,0.5,0,306,0
23.7,0.7,0,172,0
23.1,0.5,0,116,0
23.3,0.5,1,165,0
23.5,0.6,0,315,0
23.9,0.6,1,201,0
23.9,0.5,1,263,0
22.1,0.5,0,295,0
23.3,0.6,1,201,0
23.4,0.5,0,154,0
22.2,0.7,0,241,0
22.5,0.6,1,179,0
23.4,0.5,1,124,0
22.0,0.5,0,340,0
23.7,0.5,1,335,0
23.2,0.6,0,250,0
23.3,0.6,1,218,0
23.2,0.7,1,290,0
24.0,0.4,0,265,0
22.2,0.4,1,221,0
23.4,0.7,0,135,0
22.1,0.7,1,268,0
22.4,0.5,0,260,0
22.6,0.8,0,264,0
23.3,0.4,0,209,0
23.9,0.5,1,237,0
24.0,0.6,0,325,0
23.9,0.8,1,159,0
23.7,0.6,1,114,0
22.4,0.5,1,135,0
22.4,0.6,0,289,0
22.7,0.8,1,132,0
22.9,0.7,0,174,0
22.8,0.5,0,189,0
23.5,0.6,1,338,0
23.4,0.6,1,153,0
22.3,0.7,0,188,0
22.4,0.5,1,291,0
23.2,0.8,0,347,0
23.8,0.7,0,232,0
23.9,0.7,0,257,0
22.6,0.6,0,259,0
23.9,0.6,1,188,0
23.0,0.5,1,329,0
23.5,0.7,0,322,0
22.8,0.5,0,193,0
22.1,0.7,1,231,0
22.4,0.6,0,187,0
23.3,0.5,1,221,0
22.6,0.8,1,201,0
22.4,0.7,0,232,0
22.9,0.4,0,119,0
23.3,0.4,0,316,0
23.5,0.4,1,268,0
22.8,0.6,0,141,0
22.9,0.4,1,263,0
22.2,0.5,0,183,0
23.5,0.6,1,348,0
22.7,0.4,0,347,0
23.4,0.5,1,210,0
22.3,0.5,1,287,0
22.5,0.5,0,215,0
23.9,0.5,0,117,0
23.6,0.5,0,210,0
23.4,0.5,0,121,0
22.1,0.5,0,344,0
22.6,0.6,0,217,0
22.5,0.7,1,305,0
23.2,0.7,0,308,0
23.8,0.6,1,126,0
22.1,0.5,1,306,0
23.2,0.8,0,149,0
23.8,0.7,0,306,0
23.5,0.5,0,305,0
22.9,0.5,1,126,0
22.8,0.4,1,222,0
23.1,0.7,0,285,0
22.3,0.4,0,231,0
23.5,0.4,0,167,0
23.1,0.6,1,219,0
22.5,0.5,1,170,0
23.1,0.6,0,110,0
22.7,0.8,0,284,0
22.8,0.6,1,229,0
22.3,0.7,1,217,0
22.7,0.5,1,336,0
23.8,0.5,1,306,0
22.6,0.5,1,246,0
23.9,0.7,1,196,0
22.3,0.8,0,167,0
22.5,0.7,1,229,0
22.9,0.7,0,272,0
23.2,0.7,0,280,0
23.8,0.6,1,272,0
22.4,0.6,1,142,0
23.4,0.8,0,331,0
22.4,0.6,0,128,0
23.3,0.6,1,233,0
22.6,0.5,1,347,0
23.5,0.5,0,184,0
22.2,0.4,0,199,0
23.5,0.5,0,295,0
22.4,0.8,1,207,0
23.3,0.8,1,333,0
23.5,0.7,1,236,0
22.4,0.5,1,229,0
23.3,0.6,0,304,0
23.1,0.5,0,316,0
22.4,0.8,0,254,0
22.1,0.7,1,135,0
23.1,0.7,0,248,0
22.5,0.6,1,344,0
23.1,0.8,0,136,0
23.7,0.7,1,110,0
22.3,0.7,0,234,0
23.0,0.8,1,171,0
23.9,0.5,1,252,0
23.7,0.7,1,117,0
22.6,0.6,0,297,0
22.8,0.5,0,251,0
22.7,0.5,0,241,0
23.5,0.7,1,132,0
22.8,0.6,0,323,0
23.2,0.5,0,173,0
23.2,0.8,0,220,0
23.2,0.7,1,115,0
22.7,0.5,1,132,0
23.8,0.5,0,336,0
22.1,0.8,1,259,0
22.3,0.4,1,289,0
22.7,0.4,0,174,0
22.0,0.5,0,249,0
23.2,0.8,1,349,0
23.5,0.5,0,254,0
23.2,0.6,1,344,0
22.9,0.7,1,249,0
22.7,0.6,1,309,0
22.8,0.7,0,151,0
22.5,0.5,0,145,0
23.1,0.5,1,328,0
23.3,0.6,0,262,0
23.0,0.5,0,144,0
23.1,0.5,0,275,0
22.8,0.6,0,259,0
22.8,0.5,0,307,0
23.1,0.7,0,140,0
22.7,0.6,1,348,0
22.4,0.7,1,219,0
23.2,0.7,1,317,0
23.9,0.5,0,313,0
23.9,0.5,0,299,0
22.2,0.6,1,116,0
22.3,0.6,1,180,0
22.1,0.5,0,150,0
22.8,0.7,1,210,0
23.5,0.5,1,185,0
22.5,0.6,0,238,0
23.9,0.7,1,229,0
23.9,0.8,0,168,0
22.7,0.7,0,160,0
22.5,0.6,1,170,0
23.5,0.6,1,317,0
23.1,0.4,0,193,0
22.8,0.5,0,120,0
23.7,0.5,1,121,0
23.0,0.7,1,347,0
23.5,0.6,1,165,0
23.7,0.6,1,202,0
23.1,0.6,0,336,0
23.6,0.4,1,268,0
22.5,0.8,0,313,0
22.8,0.5,0,193,0
22.0,0.5,1,348,0
23.1,0.7,1,130,0
22.1,0.6,0,135,0
22.3,0.7,1,142,0
22.7,0.6,0,121,0
22.3,0.5,0,284,0
22.9,0.5,0,136,0
23.6,0.5,1,205,0
23.3,0.5,1,118,0
22.1,0.5,1,185,0
23.6,0.6,0,156,0
22.2,0.5,0,268,0
23.4,0.5,1,121,0
22.4,0.7,0,203,0
23.6,0.8,1,335,0
22.6,0.4,1,263,0
23.9,0.7,0,286,0
22.2,0.7,1,336,0
23.7,0.5,0,345,0
23.0,0.5,0,326,0
23.2,0.8,0,248,0
23.6,0.7,0,167,0
23.7,0.8,0,112,0
23.7,0.5,0,200,0
22.3,0.4,0,116,0
23.6,0.6,0,269,0
23.6,0.7,1,161,0
23.6,0.5,1,175,0
23.9,0.8,1,225,0
23.9,0.7,1,271,0
22.2,0.7,0,293,0
23.7,0.7,0,230,0
23.7,0.6,1,125,0
22.1,0.6,0,283,0
22.8,0.4,1,159,0
23.1,0.8,1,119,0
22.2,0.6,0,220,0
22.8,0.7,1,228,0
23.2,0.8,1,277,0
22.2,0.6,1,285,0
22.4,0.8,1,321,0
23.1,0.8,0,316,0
22.3,0.7,0,158,0
22.2,0.7,0,292,0
22.5,0.6,0,259,0
23.2,0.7,0,162,0
22.6,0.5,1,289,0
23.6,0.7,0,215,0
22.3,0.6,0,250,0
23.1,0.5,0,179,0
23.6,0.7,1,279,0
23.8,0.6,0,226,0
22.1,0.6,0,154,0
23.7,0.6,0,130,0
22.5,0.7,0,227,0
22.1,0.5,1,315,0
22.7,0.8,1,297,0
22.5,0.5,0,264,0
22.4,0.6,0,206,0
22.2,0.5,0,294,0
23.7,0.6,1,242,0
24.0,0.5,0,122,0
22.1,0.5,0,231,0
23.5,0.7,1,195,0
23.0,0.8,1,178,0
23.4,0.5,1,350,0
23.4,0.6,1,330,0
22.2,0.5,1,211,0
22.7,0.6,0,300,0
22.5,0.7,0,197,0
23.4,0.7,1,182,0
22.8,0.6,0,164,0
23.7,0.5,1,139,0
22.2,0.7,1,328,0
22.4,0.6,1,304,0
22.4,0.8,1,239,0
22.9,0.8,1,310,0
23.1,0.7,0,193,0
22.8,0.6,1,148,0
22.8,0.5,0,329,0
23.2,0.7,1,340,0
23.7,0.4,1,254,0
22.8,0.7,1,121,0
23.8,0.5,1,268,0
23.4,0.7,1,162,0
23.9,0.6,1,312,0
23.4,0.7,1,348,0
23.8,0.8,0,252,0
22.8,0.8,0,249,0
23.0,0.7,0,316,0
24.0,0.8,1,300,0
22.2,0.5,1,227,0
23.6,0.5,1,183,0
23.6,0.5,1,114,0
23.7,0.6,1,300,0
23.0,0.5,1,333,0
24.0,0.7,1,298,0
23.5,0.4,1,283,0
22.4,0.5,0,259,0
23.7,0.6,1,268,0
23.9,0.6,1,267,0
24.0,0.7,0,144,0
22.3,0.7,1,122,0
23.6,0.7,0,156,0
23.0,0.6,1,244,0
23.3,0.8,0,221,0
22.3,0.8,1,164,0
22.4,0.7,1,249,0
22.7,0.8,0,196,0
23.3,0.6,0,112,0
22.4,0.5,0,252,0
23.2,0.8,0,140,0
23.8,0.7,0,293,0
23.3,0.8,1,183,0
23.0,0.7,1,260,0
23.8,0.5,1,169,0
23.7,0.6,1,346,0
23.9,0.5,0,263,0
23.6,0.6,1,146,0
23.9,0.4,1,308,0
22.2,0.5,1,309,0
22.6,0.6,1,242,0
22.8,0.4,1,324,0
23.0,0.7,1,294,0
22.1,0.7,1,267,0
23.1,0.7,1,154,0
22.5,0.5,0,145,0
23.3,0.5,1,199,0
23.6,0.4,1,341,0
22.5,0.8,0,325,0
22.5,0.4,1,161,0
23.1,0.6,1,122,0
23.0,0.8,1,259,0
23.4,0.7,1,322,0
22.7,0.5,1,233,0
23.8,0.5,0,287,0
23.6,0.4,0,343,0
23.1,0.8,1,266,0
22.8,0.7,1,342,0
22.4,0.6,0,308,0
22.8,0.5,1,173,0
23.1,0.6,1,326,0
22.2,0.4,1,231,0
23.0,0.5,1,244,0
22.5,0.7,0,120,0
22.3,0.6,0,293,0
23.2,0.5,1,120,0
22.0,0.4,1,112,0
23.3,0.7,1,302,0
23.3,0.6,1,331,0
22.3,0.5,0,221,0
23.4,0.6,1,213,0
23.6,0.7,0,134,0
23.0,0.6,0,307,0
22.7,0.5,1,154,0
22.0,0.7,1,233,0
23.1,0.6,1,267,0
22.9,0.7,1,261,0
23.5,0.7,0,198,0
22.5,0.8,0,211,0
23.4,0.5,1,142,0
23.2,0.7,0,246,0
23.3,0.5,0,133,0
23.2,0.7,0,309,0
22.7,0.6,0,307,0
22.7,0.7,0,155,0
23.5,0.6,1,285,0
22.3,0.6,1,328,0
23.4,0.5,1,320,0
23.9,0.6,1,169,0
23.5,0.6,0,207,0
23.3,0.7,1,263,0
23.4,0.5,0,281,0
22.2,0.4,0,137,0
23.3,0.5,0,191,0
22.2,0.8,0,135,0
23.9,0.5,1,138,0
23.7,0.6,0,130,0
23.2,0.7,0,338,0
23.2,0.6,0,162,0
23.6,0.6,1,142,0
22.4,0.5,0,110,0
23.3,0.7,1,179,0
23.9,0.8,0,122,0
23.2,0.7,1,204,0
23.1,0.5,0,231,0
23.5,0.6,1,275,0
23.6,0.5,0,238,0
23.7,0.7,0,335,0
22.9,0.4,0,197,0
22.4,0.7,1,174,0
24.0,0.8,0,268,0
22.2,0.8,0,200,0
23.4,0.8,0,128,0
23.8,0.5,1,143,0
23.3,0.6,0,177,0
22.2,0.5,0,156,0
22.6,0.4,0,325,0
22.1,0.5,0,110,0
22.2,0.7,1,298,0
22.3,0.6,0,248,0
23.8,0.6,1,191,0
22.1,0.6,0,276,0
23.6,0.8,1,256,0
23.3,0.5,1,152,0
23.4,0.8,0,346,0
22.3,0.5,0,152,0
23.8,0.5,1,303,0
23.8,0.7,0,147,0
23.2,0.4,1,194,0
23.4,0.5,0,245,0
23.1,0.5,1,241,0
23.2,0.5,1,127,0
22.1,0.8,0,130,0
23.8,0.6,0,350,0
23.5,0.4,1,249,0
22.7,0.8,0,349,0
22.6,0.5,1,199,0
23.9,0.6,0,303,0
23.4,0.6,1,252,0
23.4,0.6,0,137,0
23.6,0.6,1,111,0
22.7,0.6,0,214,0
22.5,0.8,0,220,0
23.9,0.7,0,212,0
22.3,0.5,0,233,0
23.4,0.6,0,112,0
23.4,0.7,0,162,0
23.9,0.7,0,227,0
23.0,0.7,1,176,0
23.9,0.6,1,132,0
22.9,0.6,1,287,0
23.7,0.8,0,161,0
22.3,0.5,1,157,0
23.7,0.6,0,250,0
22.1,0.7,0,175,0
23.5,0.6,1,216,0
22.0,0.5,1,240,0
23.8,0.6,0,170,0
23.6,0.8,0,149,0
22.1,0.4,0,211,0
22.3,0.6,1,182,0
22.7,0.7,1,166,0
22.7,0.6,0,165,0
22.2,0.6,0,200,0
22.6,0.6,1,218,0
22.6,0.4,1,301,0
23.4,0.7,0,336,0
22.8,0.8,1,224,0
23.1,0.7,1,338,0
23.1,0.5,0,144,0
23.7,0.5,1,149,0
23.2,0.5,1,307,0
22.9,0.4,1,237,0
22.3,0.7,0,254,0
22.5,0.5,1,193,0
22.5,0.5,1,187,0
24.0,0.7,0,169,0
22.3,0.5,0,156,0
23.9,0.6,1,229,0
22.5,0.5,0,121,0
23.0,0.4,1,219,0
22.9,0.6,1,123,0
22.7,0.4,0,327,0
22.9,0.5,1,344,0
23.1,0.5,0,193,0
23.7,0.8,0,200,0
22.0,0.5,1,263,0
22.8,0.7,1,176,0
23.2,0.6,0,160,0
23.2,0.4,0,119,0
22.7,0.6,1,322,0
22.6,0.6,0,220,0
23.1,0.4,1,243,0
23.4,0.4,1,212,0
23.8,0.5,1,266,0
22.4,0.7,1,345,0
22.3,0.6,0,339,0
22.9,0.6,0,305,0
23.2,0.4,1,349,0
22.3,0.7,1,314,0
22.2,0.5,1,171,0
22.5,0.7,1,223,0
22.0,0.4,1,114,0
22.4,0.8,1,188,0
23.6,0.7,0,328,0
22.6,0.8,1,259,0
22.1,0.6,1,166,0
22.5,0.5,1,224,0
24.0,0.6,0,129,0
23.3,0.6,1,124,0
22.3,0.5,0,251,0
23.1,0.7,1,171,0
23.6,0.5,1,269,0
23.6,0.4,1,209,0
22.6,0.6,1,169,0
23.3,0.7,0,135,0
22.6,0.4,0,245,0
22.5,0.8,0,214,0
23.9,0.6,1,297,0
22.7,0.5,1,282,0
22.3,0.7,0,308,0
24.0,0.6,0,163,0
23.2,0.5,0,156,0
22.4,0.6,1,326,0
23.8,0.8,1,226,0
22.0,0.5,1,180,0
22.1,0.6,0,213,0
22.8,0.8,1,210,0
22.9,0.5,1,152,0
23.4,0.7,0,346,0
22.3,0.5,0,197,0
24.0,0.8,0,263,0
22.9,0.5,1,166,0
23.3,0.7,0,169,0
23.5,0.4,0,157,0
23.2,0.6,0,222,0
22.9,0.4,0,140,0
23.8,0.7,0,245,0
23.8,0.5,1,194,0
22.0,0.6,0,164,0
22.4,0.8,1,188,0
22.4,0.5,1,139,0
22.1,0.7,1,285,0
23.9,0.8,1,331,0
23.3,0.5,0,289,0
23.2,0.8,0,185,0
23.3,0.5,1,262,0
22.7,0.7,0,236,0
23.5,0.6,1,124,0
23.3,0.7,1,136,0
22.1,0.6,1,190,0
23.7,0.5,1,204,0
22.3,0.6,0,344,0
22.8,0.6,0,225,0
22.7,0.6,0,308,0
23.1,0.6,1,215,0
23.5,0.8,1,346,0
24.0,0.7,0,244,0
23.9,0.6,1,183,0
22.8,0.8,1,213,0
22.2,0.5,0,220,0
22.1,0.5,0,228,0
23.0,0.5,1,176,0
23.0,0.6,1,324,0
23.5,0.6,0,257,0
22.7,0.5,0,305,0
24.0,0.6,1,260,0
23.7,0.5,1,127,0
23.7,0.8,0,274,0
22.6,0.4,1,258,0
22.7,0.7,1,301,0
22.7,0.7,0,327,0
22.7,0.5,0,307,0
22.4,0.5,0,343,0
22.4,0.8,0,196,0
22.7,0.6,1,261,0
23.7,0.7,1,259,0
23.1,0.5,0,235,0
23.5,0.7,1,315,0
23.9,0.7,1,283,0
22.8,0.4,0,202,0
23.3,0.7,0,347,0
22.3,0.6,1,287,0
23.0,0.6,0,236,0
23.1,0.8,1,162,0
23.5,0.7,0,297,0
24.0,0.4,0,124,0
22.2,0.5,0,284,0
23.4,0.5,0,131,0
22.1,0.6,0,346,0
23.3,0.7,1,235,0
22.1,0.6,1,236,0
23.0,0.6,0,294,0
22.9,0.6,0,262,0
22.3,0.8,1,338,0
22.9,0.5,1,228,0
22.6,0.6,0,331,0
22.0,0.4,1,349,0
23.7,0.7,0,141,0
24.0,0.6,1,319,0
23.6,0.8,0,161,0
23.8,0.6,0,286,0
22.3,0.6,1,197,0
22.9,0.7,0,212,0
23.8,0.5,0,280,0
22.1,0.7,1,259,0
23.3,0.5,0,207,0
22.4,0.8,1,202,0
22.2,0.6,0,339,0
23.7,0.7,1,164,0
23.7,0.5,1,113,0
22.2,0.4,0,128,0
22.3,0.6,1,169,0
22.9,0.6,1,156,0
23.3,0.6,0,265,0
23.3,0.8,1,278,0
22.4,0.5,1,184,0
22.1,0.7,1,168,0
22.1,0.6,1,125,0
23.5,0.7,1,258,0
22.9,0.5,0,219,0
22.9,0.8,1,197,0
23.7,0.7,0,325,0
23.5,0.7,1,208,0
23.8,0.6,0,176,0
23.9,0.7,0,120,0
23.0,0.4,0,275,0
23.9,0.6,1,123,0
22.9,0.6,1,331,0
22.8,0.6,1,114,0
22.0,0.7,1,284,0
24.0,0.8,1,233,0
23.3,0.5,1,232,0
22.7,0.5,0,300,0
22.7,0.6,1,324,0
23.8,0.7,1,213,0
23.3,0.5,1,264,0
23.1,0.5,1,178,0
23.4,0.7,0,143,0
23.5,0.6,0,131,0
23.4,0.7,1,219,0
23.3,0.6,1,223,0
23.5,0.7,0,123,0
23.3,0.5,1,186,0
22.4,0.8,0,138,0
23.4,0.7,0,290,0
22.7,0.7,1,242,0
22.9,0.5,0,274,0
22.8,0.7,0,141,0
22.4,0.7,0,347,0
23.3,0.8,0,230,0
23.2,0.7,0,311,0
23.3,0.4,0,314,0
23.2,0.7,0,328,0
23.5,0.4,1,213,0
22.8,0.7,1,160,0
22.9,0.4,1,255,0
22.4,0.6,0,116,0
23.1,0.8,1,349,0
23.3,0.7,1,321,0
23.7,0.6,0,209,0
22.1,0.6,0,346,0
23.3,0.4,0,124,0
23.2,0.6,1,185,0
22.2,0.4,0,156,0
23.5,0.4,1,201,0
23.6,0.6,0,215,0
23.5,0.7,1,301,0
22.4,0.8,1,305,0
22.7,0.5,1,296,0
22.8,0.7,0,132,0
23.3,0.7,1,199,0
23.6,0.4,0,158,0
22.4,0.7,1,348,0
23.4,0.6,1,193,0
22.0,0.5,1,171,0
23.4,0.7,1,300,0
22.8,0.6,0,138,0
22.4,0.7,0,189,0
22.5,0.8,0,236,0
22.6,0.7,1,242,0
22.1,0.5,0,140,0
23.9,0.6,0,173,0
23.7,0.8,1,223,0
23.7,0.5,1,328,0
23.8,0.7,0,338,0
22.8,0.6,0,318,0
23.8,0.4,1,308,0
22.6,0.5,0,241,0
22.6,0.5,0,120,0
23.4,0.5,1,175,0
23.3,0.5,1,323,0
23.6,0.5,0,136,0
23.6,0.5,0,265,0
23.4,0.6,0,285,0
23.0,0.7,0,205,0
23.1,0.5,0,195,0
22.1,0.7,1,311,0
23.7,0.7,1,231,0
23.7,0.6,0,158,0
22.5,0.7,0,239,0
23.6,0.7,1,336,0
22.2,0.7,0,249,0
24.0,0.5,1,241,0
22.3,0.8,0,233,0
22.7,0.7,1,290,0
22.9,0.8,0,147,0
24.0,0.7,1,129,0
23.4,0.6,1,204,0
23.0,0.6,1,252,0
22.9,0.6,0,208,0
23.4,0.6,1,211,0
22.1,0.6,1,337,0
22.6,0.7,1,258,0
22.0,0.6,0,295,0
22.4,0.6,0,199,0
22.3,0.5,1,249,0
23.9,0.8,0,188,0
23.8,0.7,1,328,0
23.5,0.6,0,178,0
23.6,0.6,1,138,0
22.6,0.5,1,308,0
22.4,0.4,0,120,0
22.4,0.7,0,231,0
23.3,0.5,1,234,0
22.4,0.5,0,308,0
23.7,0.5,0,126,0
22.8,0.7,0,203,0
22.7,0.8,1,207,0
22.3,0.6,1,297,0
22.9,0.7,1,133,0
23.0,0.8,0,183,0
23.8,0.7,0,170,0
22.1,0.6,0,272,0
22.4,0.5,0,350,0
23.2,0.7,0,206,0
22.3,0.7,1,253,0
22.1,0.6,0,186,0
23.3,0.7,1,326,0
22.1,0.7,0,309,0
23.3,0.7,1,158,0
22.8,0.5,1,273,0
23.5,0.7,0,126,0
23.3,0.7,1,299,0
22.4,0.6,0,131,0
23.2,0.6,1,308,0
22.3,0.7,0,243,0
23.5,0.6,1,346,0
22.8,0.7,0,335,0
22.7,0.5,1,258,0
22.7,0.5,0,116,0
22.7,0.5,1,348,0
22.7,0.8,0,291,0
22.8,0.8,0,231,0
22.8,0.8,0,200,0
23.4,0.4,1,255,0
23.1,0.6,1,336,0
22.0,0.5,1,257,0
23.9,0.7,0,243,0
22.5,0.6,0,311,0
23.0,0.6,1,118,0
23.6,0.6,1,340,0
22.4,0.5,0,184,0
23.3,0.6,1,196,0
22.5,0.4,1,292,0
23.1,0.7,0,192,0
22.8,0.7,0,238,0
23.3,0.6,1,164,0
23.0,0.5,1,275,0
22.1,0.5,0,113,0
23.7,0.7,0,115,0
22.3,0.6,1,293,0
23.5,0.7,0,185,0
23.4,0.4,1,241,0
23.1,0.6,0,219,0
23.1,0.5,1,158,0
23.3,0.5,1,204,0
23.0,0.8,0,323,0
22.7,0.5,1,127,0
22.6,0.4,1,254,0
23.9,0.7,1,300,0
23.4,0.5,0,147,0
22.3,0.5,0,348,0
23.7,0.7,0,227,0
23.6,0.5,1,203,0
23.7,0.8,1,300,0
23.2,0.5,1,110,0
22.7,0.6,1,350,0
23.2,0.7,0,270,0
22.5,0.6,1,339,0
23.8,0.4,0,234,0
22.8,0.8,0,334,0
23.2,0.5,1,261,0
22.4,0.6,1,201,0
23.7,0.6,1,173,0
22.8,0.4,0,209,0
22.7,0.6,1,192,0
23.6,0.7,0,196,0
23.6,0.4,0,236,0
23.7,0.4,0,208,0
23.8,0.6,0,326,0
22.2,0.8,1,168,0
22.3,0.5,0,316,0
23.1,0.6,0,330,0
22.4,0.7,1,127,0
23.6,0.5,0,172,0
23.0,0.5,1,267,0
23.6,0.4,1,146,0
23.2,0.4,1,200,0
23.5,0.7,1,253,0
23.0,0.6,0,157,0
22.7,0.7,0,216,0
23.1,0.6,1,280,0
23.7,0.5,0,237,0
22.7,0.5,0,212,0
23.4,0.4,0,135,0
22.9,0.6,1,184,0
22.4,0.5,0,350,0
22.7,0.8,0,189,0
22.3,0.8,1,341,0
23.7,0.8,0,229,0
23.0,0.6,1,325,0
22.2,0.5,0,286,0
23.9,0.4,0,327,0
23.0,0.4,1,239,0
22.9,0.4,0,139,0
23.6,0.6,0,306,0
24.0,0.6,1,300,0
22.4,0.4,1,218,0
22.1,0.8,1,117,0
23.9,0.5,1,136,0
23.8,0.7,1,229,0
22.6,0.4,0,189,0
22.3,0.8,1,161,0
22.5,0.8,1,303,0
23.5,0.6,0,300,0
23.1,0.8,1,331,0
23.4,0.5,1,117,0
22.3,0.8,0,155,0
22.2,0.6,0,319,0
23.9,0.4,1,201,0
23.5,0.6,0,306,0
22.5,0.5,0,273,0
23.1,0.6,1,148,0
23.1,0.6,1,131,0
22.6,0.8,0,312,0
23.7,0.6,1,183,0
22.2,0.8,0,332,0
22.2,0.7,0,133,0
23.3,0.7,0,117,0
23.9,0.7,0,115,0
23.2,0.4,0,139,0
23.4,0.7,1,321,0
22.6,0.7,0,171,0
23.2,0.8,0,186,0
23.4,0.7,0,325,0
23.9,0.7,0,243,0
22.8,0.8,1,297,0
23.1,0.4,0,262,0
22.9,0.6,1,207,0
22.9,0.6,1,347,0
23.7,0.7,0,179,0
22.6,0.6,1,325,0
22.1,0.6,1,137,0
24.0,0.6,1,222,0
22.6,0.5,0,248,0
22.8,0.6,1,129,0
22.7,0.8,0,136,0
23.7,0.7,1,350,0
22.2,0.6,1,249,0
22.9,0.5,0,296,0
22.3,0.6,1,184,0
22.1,0.4,1,153,0
22.9,0.8,0,344,0
22.3,0.6,1,228,0
22.4,0.5,1,274,0
23.4,0.8,1,146,0
23.3,0.6,0,220,0
22.9,0.5,0,268,0
23.0,0.5,1,316,0
22.8,0.5,1,162,0
23.9,0.7,1,211,0
23.4,0.6,0,258,0
23.5,0.4,0,334,0
22.5,0.8,1,170,0
22.9,0.7,1,340,0
22.4,0.6,0,123,0
23.2,0.5,1,184,0
22.7,0.7,0,298,0
23.9,0.4,0,224,0
22.5,0.6,0,254,0
22.8,0.5,1,329,0
22.1,0.8,0,253,0
23.2,0.6,0,345,0
22.9,0.4,0,155,0
22.4,0.5,0,285,0
22.8,0.5,0,173,0
23.0,0.8,1,190,0
22.0,0.8,1,340,0
23.3,0.6,1,159,0
22.3,0.6,0,135,0
22.5,0.4,1,306,0
22.5,0.6,0,115,0
22.3,0.6,0,329,0
22.9,0.4,0,267,0
22.3,0.6,0,347,0
23.3,0.6,0,282,0
22.9,0.5,0,131,0
23.6,0.7,0,246,0
22.6,0.4,0,256,0
22.3,0.4,0,327,0
22.2,0.4,1,344,0
22.8,0.5,1,118,0
22.4,0.6,0,244,0
23.8,0.7,1,215,0
23.9,0.5,0,242,0
23.4,0.6,0,223,0
23.4,0.5,0,268,0
23.0,0.7,1,141,0
22.0,0.5,0,205,0
22.6,0.7,1,149,0
22.7,0.7,0,324,0
23.0,0.7,1,247,0
22.0,0.5,1,114,0
22.2,0.7,1,283,0
22.5,0.4,1,271,0
23.2,0.6,0,156,0
23.3,0.6,0,121,0
23.0,0.7,1,237,0
23.3,0.8,1,201,0
22.5,0.6,1,118,0
23.6,0.7,1,314,0
22.6,0.4,0,268,0
22.8,0.8,1,267,0
22.3,0.6,1,256,0
